pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Denis Gurianov & John Klingberg,Denis Gurianov,John Klingberg,20324,5,17,168,0.885652430623893,3.011218264121236,29.7579216689628,0.29521747687463096,1.0037394213737452,0.2556303133313189,0.6334936461976868,Denis Gurianov,John Klingberg
Denis Gurianov & Michael Raffl,Denis Gurianov,Michael Raffl,11334,0,3,72,0,0.9528851244044468,22.869242985706723,0,0.31762837480148226,0,0.27212676580559714,Denis Gurianov,Michael Raffl
Denis Gurianov & Radek Faksa,Denis Gurianov,Radek Faksa,7943,2,4,46,0.9064585169331487,1.8129170338662974,20.848545889462418,0.3021528389777162,0.6043056779554324,0.2607749261495551,0.4535462901908044,Denis Gurianov,Radek Faksa
Denis Gurianov & Ryan Suter,Denis Gurianov,Ryan Suter,29413,11,13,294,1.3463434535749499,1.5911331724067588,35.98408866827593,0.44878115119164996,0.5303777241355863,0.3615942022451929,0.41161731864054385,Denis Gurianov,Ryan Suter
John Klingberg & Michael Raffl,John Klingberg,Michael Raffl,18213,1,22,98,0.19766101136550818,4.34854225004118,19.3707791138198,0.06588700378850272,1.44951408334706,0.0637633504906987,0.7653157025996655,John Klingberg,Michael Raffl
Michael Raffl & Radek Faksa,Michael Raffl,Radek Faksa,37808,9,30,265,0.856961489631824,2.8565382987727466,25.232754972492597,0.2856538298772746,0.9521794329242488,0.24847727436264844,0.6141009348360935,Michael Raffl,Radek Faksa
Michael Raffl & Ryan Suter,Michael Raffl,Ryan Suter,26323,2,19,167,0.273525054135167,2.5984880142840865,22.83934202028644,0.09117501804505565,0.8661626714280288,0.08714206969294569,0.5794377075031432,Michael Raffl,Ryan Suter
Andrej Sekera & Denis Gurianov,Andrej Sekera,Denis Gurianov,6392,0,2,45,0,1.1264080100125158,25.3441802252816,0,0.3754693366708386,0,0.31303321558590014,Andrej Sekera,Denis Gurianov
Andrej Sekera & Jani Hakanpaa,Andrej Sekera,Jani Hakanpaa,12747,1,7,88,0.28241939279830547,1.9769357495881383,24.85290656625088,0.09413979759943515,0.6589785831960461,0.0898444842096201,0.48262047516478,Andrej Sekera,Jani Hakanpaa
Andrej Sekera & Michael Raffl,Andrej Sekera,Michael Raffl,6435,1,4,43,0.5594405594405595,2.237762237762238,24.055944055944057,0.1864801864801865,0.745920745920746,0.17012499546670234,0.5257026085584701,Andrej Sekera,Michael Raffl
Andrej Sekera & Radek Faksa,Andrej Sekera,Radek Faksa,8000,1,8,52,0.45,3.6,23.4,0.15,1.2,0.1392920235749422,0.6988057880877978,Andrej Sekera,Radek Faksa
